participant,trial_counter,condition,target_to_competitor,decoy_reduction,decoy_on,chosen_item,correct,rt
1,1,perceptual,0.1,0.05,competitor,target,1,11.289
1,3,numeric,0.03,0.05,target,target,1,0.185
1,4,perceptual,0.1,0.05,target,target,1,6.052
1,5,numeric,0.03,0.05,target,competitor,0,4.371
1,6,perceptual,0.1,0.2,target,competitor,0,4.804
1,7,perceptual,0.1,0.05,competitor,target,1,3.256
1,8,numeric,0.1,0.05,competitor,target,1,13.249
1,9,numeric,0.03,0.05,competitor,competitor,0,14.071
1,10,numeric,0.1,0.05,target,competitor,0,11.951
1,11,perceptual,0.03,0.05,competitor,target,1,3.126
1,12,numeric,0.03,0.2,competitor,target,1,4.292
1,13,numeric,0.1,0.05,target,target,1,11.358
1,14,numeric,0.03,0.2,target,competitor,0,4.244
1,15,perceptual,0.1,0.05,competitor,target,1,4.562
1,16,perceptual,0.03,0.05,target,target,1,8.365
1,17,numeric,0.1,0.2,competitor,target,1,4.651
1,18,numeric,0.1,0.2,target,target,1,9.7
1,19,numeric,0.03,0.05,target,target,1,15.198
1,21,perceptual,0.1,0.2,competitor,decoy,0,0.325
1,22,perceptual,0.03,0.05,competitor,target,1,3.57
1,23,perceptual,0.1,0.2,target,target,1,4.514
1,24,perceptual,0.1,0.2,competitor,target,1,3.254
1,25,numeric,0.1,0.2,competitor,target,1,6.229
1,26,numeric,0.1,0.2,competitor,target,1,8.313
1,27,perceptual,0.03,0.2,competitor,target,1,10.242
1,28,perceptual,0.1,0.2,target,target,1,4.021
1,29,perceptual,0.03,0.2,target,competitor,0,6.401
1,30,perceptual,0.03,0.2,competitor,target,1,4.824
1,31,perceptual,0.1,0.05,competitor,target,1,4.664
1,32,numeric,0.03,0.2,competitor,competitor,0,12.658
1,33,perceptual,0.1,0.05,target,target,1,9.025
1,34,numeric,0.1,0.2,target,target,1,8.509
1,35,perceptual,0.03,0.2,target,target,1,3.497
1,36,perceptual,0.1,0.05,target,target,1,6.848
1,37,perceptual,0.03,0.05,target,competitor,0,6.119
1,38,perceptual,0.03,0.2,competitor,competitor,0,14.3
1,39,perceptual,0.1,0.2,competitor,target,1,7.37
1,40,numeric,0.1,0.05,competitor,target,1,11.432
1,41,numeric,0.1,0.2,competitor,target,1,8.493
1,42,numeric,0.1,0.05,competitor,decoy,0,11.369
1,43,perceptual,0.03,0.05,target,competitor,0,6.469
1,44,perceptual,0.03,0.05,target,target,1,9.889
1,45,perceptual,0.1,0.05,competitor,target,1,8.994
1,46,perceptual,0.03,0.2,competitor,competitor,0,10.048
1,47,numeric,0.1,0.2,competitor,competitor,0,11.476
1,48,perceptual,0.1,0.2,target,target,1,3.212
1,49,numeric,0.03,0.2,target,competitor,0,5.776
1,50,numeric,0.03,0.05,target,target,1,10.129
1,51,perceptual,0.1,0.05,competitor,target,1,5.114
1,52,numeric,0.03,0.2,target,target,1,5.353
1,53,perceptual,0.1,0.05,target,target,1,3.064
1,54,perceptual,0.1,0.05,target,target,1,2.235
1,55,numeric,0.03,0.2,target,target,1,12.102
1,56,perceptual,0.03,0.05,target,competitor,0,3.905
1,57,numeric,0.03,0.2,competitor,competitor,0,14.573
1,58,numeric,0.03,0.05,competitor,competitor,0,17.555
1,59,numeric,0.1,0.05,competitor,target,1,7.748
1,60,numeric,0.1,0.05,target,competitor,0,6.018
1,61,numeric,0.1,0.2,target,competitor,0,6.683
1,62,numeric,0.03,0.2,competitor,competitor,0,10.466
1,63,perceptual,0.03,0.2,competitor,target,1,7.803
1,64,numeric,0.03,0.2,target,target,1,4.638
1,65,perceptual,0.03,0.05,competitor,competitor,0,7.204
1,66,perceptual,0.03,0.2,competitor,competitor,0,6.634
1,67,perceptual,0.03,0.2,competitor,target,1,2.538
1,68,numeric,0.1,0.2,competitor,competitor,0,9.292
1,69,numeric,0.03,0.2,competitor,target,1,3.688
1,70,perceptual,0.1,0.2,competitor,decoy,0,2.318
1,71,numeric,0.03,0.2,target,target,1,2.76
1,72,numeric,0.1,0.2,target,target,1,2.121
1,73,numeric,0.03,0.05,competitor,competitor,0,4.321
1,74,numeric,0.03,0.2,competitor,target,1,2.009
1,75,perceptual,0.03,0.2,target,competitor,0,2
1,76,numeric,0.1,0.05,target,decoy,0,2.196
1,77,perceptual,0.1,0.05,competitor,decoy,0,2.397
1,78,perceptual,0.1,0.2,competitor,target,1,2.722
1,79,perceptual,0.03,0.05,target,decoy,0,2
1,80,perceptual,0.1,0.2,target,target,1,2.224
1,81,perceptual,0.03,0.05,competitor,target,1,2.1
1,82,numeric,0.1,0.05,target,target,1,2.567
1,83,perceptual,0.1,0.2,target,target,1,2.657
1,84,numeric,0.03,0.05,competitor,target,1,1.989
1,85,perceptual,0.1,0.05,target,target,1,3.366
1,86,numeric,0.03,0.05,competitor,decoy,0,2.518
1,87,numeric,0.1,0.05,competitor,competitor,0,2.349
1,88,perceptual,0.03,0.2,target,target,1,2.739
1,89,numeric,0.1,0.05,competitor,decoy,0,1.821
1,90,perceptual,0.03,0.05,target,competitor,0,1.612
1,91,numeric,0.1,0.2,competitor,decoy,0,1.431
1,92,numeric,0.1,0.05,competitor,decoy,0,1.442
1,93,perceptual,0.03,0.05,competitor,competitor,0,1.653
1,94,numeric,0.03,0.05,competitor,decoy,0,1.689
1,95,perceptual,0.1,0.2,competitor,target,1,2.136
1,96,perceptual,0.03,0.2,target,target,1,1.889
1,97,numeric,0.03,0.05,target,decoy,0,1.511
1,98,perceptual,0.1,0.05,target,competitor,0,1.37
1,99,perceptual,0.03,0.05,target,competitor,0,1.449
1,100,perceptual,0.1,0.2,competitor,target,1,1.693
1,101,numeric,0.03,0.05,target,competitor,0,2.069
1,102,numeric,0.1,0.05,competitor,target,1,2.308
1,103,numeric,0.03,0.2,competitor,target,1,5.397
1,104,numeric,0.03,0.2,target,target,1,2.064
1,105,numeric,0.1,0.2,competitor,target,1,2.082
1,106,perceptual,0.1,0.05,competitor,target,1,2.236
1,107,numeric,0.1,0.2,target,target,1,3.399
1,108,numeric,0.1,0.05,target,target,1,5.421
1,109,perceptual,0.03,0.05,competitor,decoy,0,6.374
1,110,perceptual,0.03,0.2,competitor,competitor,0,10.795
1,111,numeric,0.03,0.05,target,decoy,0,3.423
1,112,numeric,0.1,0.2,target,decoy,0,2.027
1,113,perceptual,0.03,0.05,target,target,1,3.055
1,114,numeric,0.1,0.2,target,target,1,2.429
1,115,numeric,0.03,0.2,target,target,1,2.313
1,116,perceptual,0.1,0.2,competitor,target,1,2.199
1,117,perceptual,0.1,0.05,target,competitor,0,5.469
1,118,perceptual,0.03,0.2,competitor,competitor,0,3.721
1,119,perceptual,0.03,0.2,target,target,1,1.8
